node,latitude,longitude
m3-290,45.2189221,5.8068066
m3-291,45.2189330,5.8068301
m3-292,45.2189333,5.8071928
m3-293,45.2189333,5.8071928
m3-294,45.2189439,5.8070808
m3-295,45.2189453,5.8068542
m3-296,45.2189543,5.8071030
m3-297,45.2189557,5.8068783
m3-298,45.2189661,5.8071231
m3-299,45.2189680,5.8069025
m3-300,45.2189791,5.8071526
m3-301,45.2189954,5.8069642
m3-302,45.2190067,5.8069883
m3-303,45.2190171,5.8070151
m3-304,45.2190313,5.8070379
m3-305,45.2190417,5.8070621
m3-306,45.2190509,5.8070862
